review_text,rating
The battery life is absolutely amazing on this phone. Lasts two full days easily.,5
Camera quality is brilliant. Night mode photos look stunning compared to my old phone.,5
Very fast processor. Games run smoothly without any lag or heating issues.,5
Build quality feels premium. The glass back looks elegant and feels solid.,4
Display is vibrant and crisp. Watching movies on this screen is a pleasure.,5
Charging is super fast. Goes from zero to hundred in about forty five minutes.,4
Software is clean and bloatware free. Updates are regular and timely.,4
The speaker sound is loud and clear. Bass is decent for a phone speaker.,4
Delivery was fast and packaging was excellent. Product was well protected.,5
Great value for money. Best phone you can buy at this price range.,5
Battery drains quickly when using mobile data and GPS simultaneously.,2
Camera has too much sharpening. Photos look over processed and artificial.,2
Phone gets warm during gaming sessions. Thermal management could be better.,3
No headphone jack is a major disappointment. Should have included one.,2
Fingerprint sensor is slow and sometimes fails to recognize my finger.,2
The phone slips easily due to the smooth glass back. A case is necessary.,3
Received a defective unit. Screen had dead pixels. Had to return it.,1
Customer service was unhelpful when I reported the issue. Very frustrating.,1
After two months the charging port became loose. Poor quality control.,1
Wi-Fi signal drops frequently in certain areas. Software bug not yet fixed.,2
Average phone for the price. Nothing stands out as truly impressive.,3
Photos are good during daylight but night shots are blurry and noisy.,3
Screen brightness is low outdoors. Hard to see under direct sunlight.,3
The UI is okay but occasional stutters ruin the smooth experience.,3
Decent phone overall but the competition offers more at the same price.,3
Excellent screen to body ratio. Bezels are thin and the display is gorgeous.,5
Performance is top notch. Multitasking between heavy apps is seamless.,5
Sound quality during calls is crystal clear. No background noise issues.,4
Face unlock works perfectly even in low light conditions. Very convenient.,4
Gyroscope sensor is accurate. Gaming experience is immersive and fun.,5
5G connectivity is blazing fast. Streaming 4K videos without any buffering.,5
Dual SIM support is great for managing personal and work numbers separately.,4
Bluetooth connectivity is stable. Paired with earbuds without any drops.,4
Storage options are flexible. 256 GB variant is perfect for heavy users.,4
Color options are beautiful. The midnight black variant looks premium.,4
Battery backup has reduced significantly after four months of use.,2
The phone lags after the latest software update. Needs a fix urgently.,2
Macro camera is useless. Photos come out blurry even in good lighting.,2
Volume buttons feel flimsy and cheap compared to the rest of the build.,2
App drawer organization is confusing and not intuitive to use daily.,2
Received the wrong color. Ordered black but got blue. Disappointing error.,1
The seller delivered a used phone instead of a brand new sealed unit.,1
Screen protection glass cracked on first minor drop. Very fragile design.,1
Overpriced for what it offers. Better phones available at lower prices.,1
Do not buy. The phone stopped working after three weeks of light use.,1
This phone exceeded all my expectations. Truly a flagship killer product.,5
Highly recommend this to anyone looking for a reliable daily driver phone.,5
Worth every rupee spent. My family members also want to buy the same.,5
Outstanding performance and camera combo. Nothing beats it at this price.,5
Switching from iPhone to this was the best decision I made this year.,5
Good phone but lacks wireless charging which competitors offer at same price.,3
Build is solid but the notch design feels outdated in this era of phones.,3
Call quality is clear but earpiece volume is low during outdoor calls.,3
Battery is fine for moderate users but heavy users need to charge daily.,3
Performance is good for regular tasks but stutters in intensive workloads.,3
Super impressed with the camera zoom capabilities. Portraits look amazing.,5
The ultra wide camera captures stunning landscape shots with great detail.,5
Video recording is extremely smooth thanks to optical image stabilisation.,5
Dolby Atmos speakers deliver an incredible audio experience for movies.,5
Gorilla Glass protection gives confidence. Survived a two feet drop fine.,4
IP68 water resistance is reassuring. Survived rain splashes with no issues.,4
NFC payments work flawlessly. Tap and pay at all major retail stores.,4
The always on display feature is handy for checking time and notifications.,4
Haptic feedback is satisfying and premium. Typing feels responsive and nice.,4
GPS locks on quickly. Navigation during road trips was accurate throughout.,4
Terrible after sales service. Service center kept the phone for one month.,1
Phone restarted randomly multiple times daily. Major inconvenience always.,1
The promised software update never arrived. Brand does not keep promises.,1
Microphone picks up a lot of wind noise during outdoor voice recordings.,2
Earpiece has slight distortion at maximum volume. Annoying during calls.,2
Heating during charging is excessive. Feels very hot to hold while charging.,2
App crashes frequently. Cleared cache but the problem keeps coming back.,2
Proximity sensor malfunction causes screen to turn on in pocket randomly.,2
The notification LED is missing. Hard to know if I have missed messages.,3
Screen refresh rate drops in power saving mode more than I would like.,3
Dark mode implementation is good but some system apps still look bright.,3
Comes with a charger in the box which many premium brands no longer do.,4
Setup process was quick and easy. Data transfer from old phone was smooth.,4
Gaming mode is a great feature. It blocks notifications during gaming sessions.,4
Split screen multitasking works well. Useful for productivity on the go.,4
Auto brightness adjustment is smart and works accurately in all conditions.,4
The bokeh effect in portrait mode is natural and not overdone at all.,5
Wide aperture mode creates beautiful depth of field in close up photos.,5
Pro mode gives great manual control for photography enthusiasts like me.,5
Slow motion video at 960 frames per second is absolutely breathtaking.,5
Astrophotography mode captures stars surprisingly well for a phone camera.,5
Vlogging with this phone is a breeze. Front camera quality is outstanding.,5
YouTube consumption on this display is pure bliss. Colours are accurate.,5
Reading ebooks on the screen is comfortable. Eye care mode helps a lot.,4
Kids love using this phone for educational apps. Performance never lags.,4
The parental control features are robust and easy to configure for kids.,4
Calling quality over VoLTE is excellent. Crystal clear even in weak signals.,4
Roaming data works well internationally. Used it in Dubai without issues.,4
The phone maintained peak performance even after six months of use easily.,5
Regular security patches keep the phone safe. Good brand commitment seen.,5
Ecosystem integration with earbuds and smartwatch is seamless and intuitive.,5
Gaming tournament was won because of this phone's low latency touch response.,5
Recommended by my tech youtuber. Every claim they made was absolutely true.,5
Gaming tournament was won because of this phone's low latency touch response.,5
The phone maintained peak performance even after six months of use easily.,5
